id_car,id_client,date_membership
1,72,2022/06/17						
2,16,2022/05/22						
3,33,2022/08/14						
4,80,2022/09/07						
5,53,2022/02/06						
6,25,2022/08/26						
7,93,2022/05/31						
8,49,2022/07/29						
9,58,2022/03/26						
10,1,2022/02/25					
11,37,2022/04/22					
12,11,2022/03/04					
13,38,2022/09/14					
14,71,2022/08/17					
15,89,2022/06/05					
16,3,2022/04/02					
17,42,2022/08/08					
18,46,2022/01/23					
19,63,2022/05/10					
20,90,2022/02/18					
21,54,2022/07/11					
22,92,2022/03/15					
23,23,2022/09/16					
24,87,2022/01/21					
25,17,2022/06/19					
26,15,2022/05/06					
27,21,2022/07/26					
28,77,2022/02/11					
29,7,2022/04/06					
30,57,2022/08/02					
31,99,2022/06/13					
32,51,2022/04/11					
33,67,2022/09/01					
34,26,2022/05/24					
35,19,2022/08/23					
36,47,2022/01/08					
37,95,2022/02/08					
38,8,2022/09/06					
39,61,2022/07/18					
40,30,2022/03/09					
41,45,2022/04/28					
42,14,2022/06/26					
43,35,2022/03/13					
44,83,2022/07/21					
45,55,2022/08/03					
46,98,2022/05/16					
47,70,2022/04/03					
48,6,2022/09/13					
49,50,2022/01/28					
50,22,2022/07/12					
51,10,2022/02/22					
52,60,2022/05/03					
53,68,2022/08/29					
54,36,2022/03/27					
55,64,2022/09/03					
56,96,2022/06/12					
57,39,2022/04/19					
58,12,2022/01/26					
59,76,2022/07/15					
60,48,2022/09/08					
61,97,2022/05/07					
62,69,2022/03/18					
63,31,2022/06/06					
64,85,2022/08/31					
65,29,2022/07/08					
66,74,2022/04/17					
67,56,2022/01/16					
68,40,2022/09/17					
69,75,2022/06/30					
70,28,2022/05/12					
71,78,2022/02/26					
72,81,2022/08/21					
73,43,2022/04/09					
74,73,2022/01/07					
75,5,2022/06/24					
76,66,2022/03/08					
77,52,2022/09/02					
78,18,2022/05/14					
79,41,2022/07/28					
80,2,2022/02/09					
81,88,2022/04/22					
82,65,2022/08/12					
83,27,2022/03/21					
84,94,2022/09/10					
85,62,2022/07/07					
86,20,2022/01/29					
87,44,2022/06/15					
88,9,2022/05/19					
89,34,2022/04/15					
90,91,2022/03/02					
91,59,2022/08/28					
92,13,2022/07/22					
93,86,2022/02/15					
94,82,2022/09/09					
95,24,2022/01/14					
96,84,2022/05/27					
97,79,2022/06/29	
98,100,2022/03/11	
99,32,2022/08/11	
100,4,2022/04/12	      
                    



  


     
 
 